rank,name,author,link,star,fork,language,issues,description,last_commit
64,IBAnimatable,IBAnimatable,https://github.com/IBAnimatable/IBAnimatable,8670,780,Swift,45,"Design and prototype customized UI, interaction, navigation, transition and animation for App Store ready Apps in Interface Builder with IBAnimatable.",2023-02-21T11:14:59Z
65,WWDC,insidegui,https://github.com/insidegui/WWDC,8587,772,Swift,19,The unofficial WWDC app for macOS,2024-06-20T12:37:55Z
66,ios-oss,kickstarter,https://github.com/kickstarter/ios-oss,8433,1242,Swift,3,"Kickstarter for iOS. Bring new ideas to life, anywhere.",2024-08-07T18:45:50Z
67,Starscream,daltoniam,https://github.com/daltoniam/Starscream,8241,1191,Swift,129,Websockets in swift for iOS and OSX,2024-05-16T21:37:05Z
68,gitignore.io,toptal,https://github.com/toptal/gitignore.io,8182,618,Swift,18,Create useful .gitignore files for your project,2024-06-13T14:02:47Z
69,PlayCover,PlayCover,https://github.com/PlayCover/PlayCover,8140,753,Swift,327,Community fork of PlayCover,2024-08-09T19:09:33Z
70,NetNewsWire,Ranchero-Software,https://github.com/Ranchero-Software/NetNewsWire,8137,518,Swift,772,RSS reader for macOS and iOS.,2024-08-06T04:35:16Z
71,openhaystack,seemoo-lab,https://github.com/seemoo-lab/openhaystack,8126,444,Swift,118,Build your own 'AirTags' 🏷 today! Framework for tracking personal Bluetooth devices via Apple's massive Find My network.,2024-07-09T07:19:10Z
72,Dozer,Mortennn,https://github.com/Mortennn/Dozer,8081,255,Swift,87,Hide menu bar icons on macOS,2023-11-30T13:45:27Z
73,Swift-30-Projects,soapyigu,https://github.com/soapyigu/Swift-30-Projects,8036,1818,Swift,4,30 mini Swift Apps for self-study,2023-06-07T19:22:26Z
74,LTMorphingLabel,lexrus,https://github.com/lexrus/LTMorphingLabel,8028,782,Swift,24,[EXPERIMENTAL] Graceful morphing effects for UILabel written in Swift.,2024-02-24T06:05:55Z
75,Nuke,kean,https://github.com/kean/Nuke,7984,519,Swift,12,Image loading system,2024-08-08T20:09:00Z
76,Reachability.swift,ashleymills,https://github.com/ashleymills/Reachability.swift,7925,944,Swift,79,Replacement for Apple's Reachability re-written in Swift with closures,2024-05-24T08:26:03Z
77,swift-nio,apple,https://github.com/apple/swift-nio,7889,638,Swift,179,"Event-driven network application framework for high performance protocol servers & clients, non-blocking.",2024-08-10T12:06:20Z
78,KeychainAccess,kishikawakatsumi,https://github.com/kishikawakatsumi/KeychainAccess,7877,780,Swift,44,"Simple Swift wrapper for Keychain that works on iOS, watchOS, tvOS and macOS.",2024-05-31T12:29:46Z
79,Awesome-ARKit,olucurious,https://github.com/olucurious/Awesome-ARKit,7830,918,Swift,4,A curated list of awesome ARKit projects and resources. Feel free to contribute!,2024-05-09T12:55:22Z
80,facebook-ios-sdk,facebook,https://github.com/facebook/facebook-ios-sdk,7756,3522,Swift,192,Used to integrate the Facebook Platform with your iOS & tvOS apps.,2024-08-08T22:36:20Z
81,SwiftFormat,nicklockwood,https://github.com/nicklockwood/SwiftFormat,7732,628,Swift,283,A command-line tool and Xcode Extension for formatting Swift code,2024-08-10T17:28:33Z
82,AlDente-Charge-Limiter,AppHouseKitchen,https://github.com/AppHouseKitchen/AlDente-Charge-Limiter,7713,286,Swift,98,macOS menubar tool to set Charge Limits and prolong battery lifespan,2024-07-08T14:12:55Z
83,Gifski,sindresorhus,https://github.com/sindresorhus/Gifski,7665,289,Swift,24,🌈 Convert videos to high-quality GIFs on your Mac,2024-06-26T17:42:32Z
84,Kitura,Kitura,https://github.com/Kitura/Kitura,7628,495,Swift,76,A Swift web framework and HTTP server.,2022-10-07T05:43:45Z
85,Sourcery,krzysztofzablocki,https://github.com/krzysztofzablocki/Sourcery,7628,610,Swift,55,"Meta-programming for Swift, stop writing boilerplate code.",2024-08-08T11:10:13Z
86,SwiftDate,malcommac,https://github.com/malcommac/SwiftDate,7597,767,Swift,72,"🐔 Toolkit to parse, validate, manipulate, compare and display dates, time & timezones in Swift.",2023-09-19T09:59:48Z
87,JTAppleCalendar,patchthecode,https://github.com/patchthecode/JTAppleCalendar,7540,804,Swift,72,The Unofficial Apple iOS Swift Calendar View. Swift calendar Library. iOS calendar Control. 100% Customizable,2024-07-23T19:01:40Z
88,ReSwift,ReSwift,https://github.com/ReSwift/ReSwift,7530,520,Swift,42,Unidirectional Data Flow in Swift - Inspired by Redux,2024-04-22T14:51:58Z
89,Lona,Lona,https://github.com/Lona/Lona,7524,266,Swift,18,"A tool for defining design systems and using them to generate cross-platform UI code, Sketch files, and other artifacts.",2023-01-04T21:40:53Z
90,Clipy,Clipy,https://github.com/Clipy/Clipy,7514,632,Swift,219,Clipboard extension app for macOS.,2024-06-29T14:02:13Z
91,CopilotForXcode,intitni,https://github.com/intitni/CopilotForXcode,7462,352,Swift,31,"The missing GitHub Copilot, Codeium and ChatGPT Xcode Source Editor Extension",2024-08-10T17:32:26Z
92,Cartography,robb,https://github.com/robb/Cartography,7347,524,Swift,61,A declarative Auto Layout DSL for Swift :iphone::triangular_ruler:,2023-11-07T11:29:48Z
93,SwiftMessages,SwiftKickMobile,https://github.com/SwiftKickMobile/SwiftMessages,7276,742,Swift,40,A very flexible message bar for UIKit and SwiftUI.,2024-08-07T10:57:14Z
94,MochiDiffusion,MochiDiffusion,https://github.com/MochiDiffusion/MochiDiffusion,7274,346,Swift,16,Run Stable Diffusion on Mac natively,2024-08-05T00:23:17Z
95,ViewAnimator,marcosgriselli,https://github.com/marcosgriselli/ViewAnimator,7255,484,Swift,7,ViewAnimator brings your UI to life with just one line,2024-03-31T11:37:25Z
96,FSPagerView,WenchaoD,https://github.com/WenchaoD/FSPagerView,7141,955,Swift,152,FSPagerView is an elegant Screen Slide Library. It is extremely helpful for making Banner View、Product Show、Welcome/Guide Pages、Screen/ViewController Sliders.,2024-06-29T17:34:52Z
97,react-native-video,TheWidlarzGroup,https://github.com/TheWidlarzGroup/react-native-video,7105,2864,Swift,209,A <Video /> component for react-native,2024-08-10T16:56:13Z
98,react-native-vision-camera,mrousavy,https://github.com/mrousavy/react-native-vision-camera,7081,1047,Swift,75,"📸 A powerful, high-performance React Native Camera library.",2024-08-07T13:26:18Z
99,secretive,maxgoedjen,https://github.com/maxgoedjen/secretive,7033,155,Swift,116,Store SSH keys in the Secure Enclave,2024-07-25T13:34:01Z
100,About-SwiftUI,Juanpe,https://github.com/Juanpe/About-SwiftUI,6983,677,Swift,0,"Gathering all info published, both by Apple and by others, about new framework SwiftUI.",2022-10-28T15:59:18Z
