rank,name,author,link,star,fork,language,issues,description,last_commit
65,redisson,redisson,https://github.com/redisson/redisson,23522,5392,Java,295,"Redisson - Valkey and Redis Java client. Complete Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache..",2025-01-10T05:57:20Z
66,gson,google,https://github.com/google/gson,23474,4295,Java,236,A Java serialization/deserialization library to convert Java Objects into JSON and back,2025-01-02T15:29:13Z
67,jenkins,jenkinsci,https://github.com/jenkinsci/jenkins,23455,8871,Java,0,Jenkins automation server,2025-01-10T16:19:29Z
68,Mindustry,Anuken,https://github.com/Anuken/Mindustry,23063,3015,Java,9,The automation tower defense RTS,2025-01-11T05:33:03Z
69,Sentinel,alibaba,https://github.com/alibaba/Sentinel,22527,8061,Java,663,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",2024-10-24T12:34:45Z
70,openapi-generator,OpenAPITools,https://github.com/OpenAPITools/openapi-generator,22416,6673,Java,4534,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",2025-01-11T09:00:58Z
71,source-code-hunter,doocs,https://github.com/doocs/source-code-hunter,22397,4149,Java,11,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等,2025-01-02T11:03:02Z
72,FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,21856,763,Java,490,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,2024-07-15T08:04:08Z
73,ExoPlayer,google,https://github.com/google/ExoPlayer,21758,6030,Java,648,This project is deprecated and stale. The latest ExoPlayer code is available in https://github.com/androidx/media,2024-08-07T18:54:48Z
74,eladmin,elunez,https://github.com/elunez/eladmin,21437,7366,Java,17,eladmin jpa 版本：项目基于 Spring Boot 2.6.4、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,2024-09-19T02:01:25Z
75,rocketmq,apache,https://github.com/apache/rocketmq,21436,11745,Java,281,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",2025-01-11T02:27:46Z
76,SmartTube,yuliskov,https://github.com/yuliskov/SmartTube,20917,1127,Java,2300,Advanced player for set-top boxes and tvs running Android OS,2025-01-11T06:05:25Z
77,Apktool,iBotPeaches,https://github.com/iBotPeaches/Apktool,20689,3628,Java,71,A tool for reverse engineering Android apk files,2024-12-29T13:10:19Z
78,graal,oracle,https://github.com/oracle/graal,20544,1653,Java,652,"GraalVM compiles Java applications into native executables that start instantly, scale fast, and use fewer compute resources 🚀",2025-01-11T02:14:41Z
79,GSYVideoPlayer,CarGuo,https://github.com/CarGuo/GSYVideoPlayer,20486,4229,Java,14,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，16k page size，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。",2025-01-11T06:29:59Z
80,DoKit,didi,https://github.com/didi/DoKit,20245,3130,Java,232,一款面向泛前端产品研发全生命周期的效率平台。,2025-01-02T08:27:43Z
81,jdk,openjdk,https://github.com/openjdk/jdk,20238,5656,Java,0,JDK main-line development https://openjdk.org/projects/jdk,2025-01-11T07:21:57Z
82,HikariCP,brettwooldridge,https://github.com/brettwooldridge/HikariCP,20167,2960,Java,489,"光 HikariCP・A solid, high-performance, JDBC connection pool at last.",2024-12-13T17:17:35Z
83,shardingsphere,apache,https://github.com/apache/shardingsphere,20114,6797,Java,466,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",2025-01-11T10:08:41Z
84,mybatis-3,mybatis,https://github.com/mybatis/mybatis-3,19907,12891,Java,127,MyBatis SQL mapper framework for Java,2025-01-08T22:20:20Z
85,RxAndroid,ReactiveX,https://github.com/ReactiveX/RxAndroid,19875,2946,Java,1,RxJava bindings for Android,2024-08-07T18:30:28Z
86,awesome-system-design-resources,ashishps1,https://github.com/ashishps1/awesome-system-design-resources,19532,4706,Java,3,Learn System Design concepts and prepare for interviews using free resources.,2025-01-10T17:52:42Z
87,litemall,linlinjava,https://github.com/linlinjava/litemall,19390,7225,Java,33,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,2025-01-04T11:44:29Z
88,SpringBoot-Labs,yudaocode,https://github.com/yudaocode/SpringBoot-Labs,19312,6040,Java,28,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024,2024-04-28T06:20:25Z
89,dataease,dataease,https://github.com/dataease/dataease,18824,3394,Java,408,🔥 人人可用的开源 BI 工具，Tableau、帆软的开源替代。,2025-01-10T11:06:35Z
90,PhotoView,Baseflow,https://github.com/Baseflow/PhotoView,18801,3923,Java,201,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",2022-03-25T09:53:49Z
91,cat,dianping,https://github.com/dianping/cat,18752,5425,Java,180,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",2025-01-04T10:23:47Z
92,LSPosed,LSPosed,https://github.com/LSPosed/LSPosed,18394,2881,Java,2,LSPosed Framework,2024-04-18T18:22:03Z
93,Chat2DB,CodePhiliaX,https://github.com/CodePhiliaX/Chat2DB,18210,2028,Java,369,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",2024-12-26T07:33:08Z
94,conductor,conductor-oss,https://github.com/conductor-oss/conductor,18170,510,Java,69,Conductor is an event driven orchestration platform,2025-01-09T15:17:39Z
95,thingsboard,thingsboard,https://github.com/thingsboard/thingsboard,18038,5339,Java,632,"Open-source IoT Platform - Device management, data collection, processing and visualization.",2025-01-10T17:32:50Z
96,DSA-Bootcamp-Java,kunal-kushwaha,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,17931,11431,Java,172,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs.",2024-08-18T08:21:57Z
97,SpringCloudLearning,forezp,https://github.com/forezp/SpringCloudLearning,17910,8057,Java,40,《史上最简单的Spring Cloud教程源码》,2021-04-12T09:53:47Z
98,disruptor,LMAX-Exchange,https://github.com/LMAX-Exchange/disruptor,17589,3931,Java,17,High Performance Inter-Thread Messaging Library,2024-09-13T20:06:37Z
99,Algorithms,williamfiset,https://github.com/williamfiset/Algorithms,17567,4404,Java,62,A collection of algorithms and data structures,2024-12-30T10:03:15Z
100,intellij-community,JetBrains,https://github.com/JetBrains/intellij-community,17559,5315,Java,0,IntelliJ IDEA Community Edition & IntelliJ Platform,2025-01-11T00:58:26Z
