rank,name,author,link,star,fork,language,issues,description,last_commit
31,Coursera-Machine-Learning-Stanford,atinesh-s,https://github.com/atinesh-s/Coursera-Machine-Learning-Stanford,1127,765,MATLAB,2,Machine learning-Stanford University,2023-04-04T13:28:55Z
32,machine-learning-coursera-1,Borye,https://github.com/Borye/machine-learning-coursera-1,1125,906,MATLAB,0,This repo is specially created for all the work done my me as a part of Coursera's Machine Learning Course.,2019-07-28T13:49:39Z
33,Gait-Tracking-With-x-IMU,xioTechnologies,https://github.com/xioTechnologies/Gait-Tracking-With-x-IMU,988,416,MATLAB,22,None,2023-10-14T12:00:26Z
34,BPL,brendenlake,https://github.com/brendenlake/BPL,976,306,MATLAB,0,Bayesian Program Learning model for one-shot learning,2015-12-28T20:48:56Z
35,activityrecognition,jindongwang,https://github.com/jindongwang/activityrecognition,921,350,MATLAB,1,Resources about activity recognition-行为识别资料,2019-08-20T05:46:37Z
36,convnet-burden,albanie,https://github.com/albanie/convnet-burden,918,114,MATLAB,5,Memory consumption and FLOP count estimates for convnets,2019-01-17T11:15:00Z
37,quadrotor,yrlu,https://github.com/yrlu/quadrotor,907,282,MATLAB,9,"Quadrotor control, path planning and trajectory optimization",2024-05-05T00:36:38Z
38,Image-Fusion,Linfeng-Tang,https://github.com/Linfeng-Tang/Image-Fusion,888,136,MATLAB,10,Deep Learning-based Image Fusion: A Survey,2024-12-26T08:34:09Z
39,fieldtrip,fieldtrip,https://github.com/fieldtrip/fieldtrip,864,729,MATLAB,94,"The MATLAB toolbox for MEG, EEG and iEEG analysis",2025-01-07T22:46:18Z
40,machine-learning-octave,trekhleb,https://github.com/trekhleb/machine-learning-octave,857,246,MATLAB,0,🤖 MatLab/Octave examples of popular machine learning algorithms with code examples and mathematics being explained,2020-07-08T05:58:17Z
41,toolbox,pdollar,https://github.com/pdollar/toolbox,850,498,MATLAB,32,Piotr's Image & Video Matlab Toolbox,2019-05-06T18:46:16Z
42,VAD,jtkim-kaist,https://github.com/jtkim-kaist/VAD,848,235,MATLAB,30,"Voice activity detection (VAD) toolkit including DNN, bDNN, LSTM and ACAM based VAD. We also provide our directly recorded dataset.",2021-06-09T07:28:56Z
43,lrslibrary,andrewssobral,https://github.com/andrewssobral/lrslibrary,845,378,MATLAB,2,Low-Rank and Sparse Tools for Background Modeling and Subtraction in Videos,2023-03-15T11:54:14Z
44,MIMO_OFDM,LyricYang,https://github.com/LyricYang/MIMO_OFDM,833,282,MATLAB,1,《MIMO-OFDM无线通信技术及MATLAB实现》随书源码,2018-05-11T06:28:47Z
45,edges,pdollar,https://github.com/pdollar/edges,830,363,MATLAB,17,Structured Edge Detection Toolbox,2019-12-02T22:40:33Z
46,Octave,schneems,https://github.com/schneems/Octave,823,504,MATLAB,5,"my octave exercises for 2011 stanford machine learning class, posted after the due date of course",2021-07-02T19:34:38Z
47,Matlab-Machine,Time9Y,https://github.com/Time9Y/Matlab-Machine,799,148,MATLAB,0,None,2024-11-30T01:24:37Z
