rank,name,author,link,star,fork,language,issues,description,last_commit
91,midarr-server,midarrlabs,https://github.com/midarrlabs/midarr-server,1260,39,Elixir,1,"🔥Midarr, the minimal lightweight media server.",2024-12-31T10:14:11Z
92,swarm,bitwalker,https://github.com/bitwalker/swarm,1214,103,Elixir,39,"Easy clustering, registration, and distribution of worker processes for Erlang/Elixir",2022-06-22T11:00:39Z
93,witchcraft,witchcrafters,https://github.com/witchcrafters/witchcraft,1205,59,Elixir,21,Monads and other dark magic for Elixir,2023-08-28T14:32:22Z
94,ex_admin,smpallen99,https://github.com/smpallen99/ex_admin,1201,271,Elixir,125,ExAdmin is an auto administration package for Elixir and the Phoenix Framework,2020-02-03T09:29:34Z
95,arc,stavro,https://github.com/stavro/arc,1167,211,Elixir,71,:paperclip: Flexible file upload and attachment library for Elixir,2024-07-12T12:41:24Z
96,explorer,elixir-explorer,https://github.com/elixir-explorer/explorer,1154,127,Elixir,23,Series (one-dimensional) and dataframes (two-dimensional) for fast and elegant data exploration in Elixir,2025-01-10T18:30:18Z
97,fastglobal,discord,https://github.com/discord/fastglobal,1150,84,Elixir,8,Fast no copy globals for Elixir & Erlang.,2023-03-09T21:12:23Z
98,elixir-boilerplate,mirego,https://github.com/mirego/elixir-boilerplate,1139,83,Elixir,1,⚗ The stable base upon which we build our Elixir projects at Mirego.,2024-06-24T19:54:52Z
99,postgrex,elixir-ecto,https://github.com/elixir-ecto/postgrex,1129,276,Elixir,4,PostgreSQL driver for Elixir,2024-12-19T22:03:49Z
100,req,wojtekmach,https://github.com/wojtekmach/req,1129,119,Elixir,42,Req is a batteries-included HTTP client for Elixir.,2025-01-02T08:10:15Z
