rank,name,author,link,star,fork,language,issues,description,last_commit
40,lshort-zh-cn,CTeX-org,https://github.com/CTeX-org/lshort-zh-cn,3063,414,TeX,2,A Chi­nese edi­tion of the Not So Short Introduction to LaTeX2ε,2024-12-19T02:48:55Z
41,probability_cheatsheet,wzchen,https://github.com/wzchen/probability_cheatsheet,3055,695,TeX,2,A comprehensive 10-page probability cheatsheet that covers a semester's worth of introduction to probability.,2022-06-15T17:35:54Z
42,latexcv,jankapunkt,https://github.com/jankapunkt/latexcv,2920,608,TeX,0,:necktie: A collection of cv and resume templates written in LaTeX. Leave an issue if your language is not supported!,2023-08-22T14:34:11Z
43,tensorflow-internals,horance-liu,https://github.com/horance-liu/tensorflow-internals,2894,583,TeX,16,It is open source ebook about TensorFlow kernel and implementation mechanism.,2023-05-05T09:00:03Z
44,awesome-deep-learning-music,ybayle,https://github.com/ybayle/awesome-deep-learning-music,2843,341,TeX,2,List of articles related to deep learning applied to music,2023-12-15T16:51:26Z
45,zjuthesis,TheNetAdmin,https://github.com/TheNetAdmin/zjuthesis,2806,640,TeX,15,Zhejiang University Graduation Thesis LaTeX Template,2025-01-06T22:58:27Z
46,MTBook,NiuTrans,https://github.com/NiuTrans/MTBook,2745,762,TeX,3,《机器翻译：基础与模型》肖桐 朱靖波 著 - Machine Translation: Foundations and Models,2024-09-14T11:26:32Z
47,language,dart-lang,https://github.com/dart-lang/language,2698,207,TeX,1228,Design of the Dart language,2025-01-08T16:09:13Z
48,perf-book,dendibakh,https://github.com/dendibakh/perf-book,2643,182,TeX,15,"The book ""Performance Analysis and Tuning on Modern CPU""",2024-12-24T04:34:05Z
49,Data-Science-Cheatsheet,ml874,https://github.com/ml874/Data-Science-Cheatsheet,2548,614,TeX,5,None,2022-09-18T14:59:37Z
50,NRLPapers,thunlp,https://github.com/thunlp/NRLPapers,2524,644,TeX,0,Must-read papers on network representation learning (NRL) / network embedding (NE),2020-08-03T10:53:46Z
51,ThinkPython2,AllenDowney,https://github.com/AllenDowney/ThinkPython2,2522,1661,TeX,22,"LaTeX source and supporting code for Think Python, 2nd edition, by Allen Downey.",2024-04-09T22:30:06Z
52,transferlearning-tutorial,jindongwang,https://github.com/jindongwang/transferlearning-tutorial,2496,495,TeX,12,《迁移学习简明手册》LaTex源码,2023-05-02T02:20:59Z
53,MT-Reading-List,THUNLP-MT,https://github.com/THUNLP-MT/MT-Reading-List,2435,449,TeX,2,A machine translation reading list maintained by Tsinghua Natural Language Processing Group,2024-08-09T14:48:06Z
54,adv-r,hadley,https://github.com/hadley/adv-r,2368,1714,TeX,84,Advanced R: a book,2024-05-11T11:26:52Z
55,stat-cookbook,mavam,https://github.com/mavam/stat-cookbook,2255,343,TeX,2,:orange_book: The probability and statistics cookbook,2023-02-20T06:43:02Z
56,mcdowell-cv,dnl-blkv,https://github.com/dnl-blkv/mcdowell-cv,2230,781,TeX,13,A Nice-looking CV template made into LaTeX,2024-05-10T15:00:38Z
57,the-little-go-book,karlseguin,https://github.com/karlseguin/the-little-go-book,2209,272,TeX,6,None,2024-10-17T01:21:34Z
58,BDA_course_Aalto,avehtari,https://github.com/avehtari/BDA_course_Aalto,2179,559,TeX,0,Bayesian Data Analysis course at Aalto,2024-12-04T11:22:51Z
59,python-coding-interview,liyin2015,https://github.com/liyin2015/python-coding-interview,2170,453,TeX,4,A middle-to-high level open source algorithm book designed with coding interview at heart!,2024-02-27T18:14:39Z
60,ixy-languages,ixy-languages,https://github.com/ixy-languages/ixy-languages,2152,55,TeX,0,"A high-speed network driver written in C, Rust, C++, Go, C#, Java, OCaml, Haskell, Swift, Javascript, and Python",2024-06-11T22:55:02Z
61,ElegantBook,ElegantLaTeX,https://github.com/ElegantLaTeX/ElegantBook,2079,402,TeX,42,Elegant LaTeX Template for Books,2022-12-31T02:44:17Z
62,CleverAlgorithms,Jason2Brownlee,https://github.com/Jason2Brownlee/CleverAlgorithms,2052,337,TeX,0,Clever Algorithms: Nature-Inspired Programming Recipes,2024-12-20T03:55:29Z
63,book,HoTT,https://github.com/HoTT/book,2043,360,TeX,73,A textbook on informal homotopy type theory,2024-06-17T16:38:47Z
64,latex2e,latex3,https://github.com/latex3/latex2e,1979,272,TeX,168,The LaTeX2e kernel,2025-01-11T09:55:23Z
65,the-turing-way,the-turing-way,https://github.com/the-turing-way/the-turing-way,1953,665,TeX,479,Host repository for The Turing Way: a how to guide for reproducible data science,2025-01-09T11:59:20Z
66,ml-pen-and-paper-exercises,michaelgutmann,https://github.com/michaelgutmann/ml-pen-and-paper-exercises,1952,141,TeX,2,Pen and paper exercises in machine learning,2024-05-21T20:05:42Z
